	SRR5440795.trimmed.Athaliana.bam	SRR5440804.trimmed.Athaliana.bam	SRR5440813.trimmed.Athaliana.bam	SRR5440822.trimmed.Athaliana.bam	SRR5440831.trimmed.Athaliana.bam	SRR5440840.trimmed.Athaliana.bam
AT1G02900	202	172	132	118	162	133
AT1G02910	598	668	556	456	443	549
AT1G02920	15168	9064	9925	4587	4353	8824
AT1G02930	23685	17975	17198	8287	7315	14422
AT1G02940	12	15	11	10	6	5
AT1G02950	121	115	92	86	87	84
AT1G02952	73	74	58	49	41	60
AT1G02960	374	413	337	215	224	296
AT1G02965	0	1	0	4	0	0
AT1G02970	35	39	34	27	24	19
AT1G02980	8	2	6	2	3	3
AT1G02990	885	1041	838	563	583	789
AT1G03000	539	613	541	343	347	456
AT1G03010	81	129	46	15	32	43
AT1G03020	1	0	1	0	1	0
AT1G03030	365	362	353	270	221	320
AT1G03040	1696	1872	1542	1267	1477	1867
AT1G03050	3	13	7	5	6	6
AT1G03055	13	16	21	14	22	21
AT1G03060	2877	3499	2390	1676	1766	3229
AT1G03070	13	17	21	9	12	12
AT1G03080	4975	6220	4375	5911	5930	11408
AT1G03090	530	514	462	333	318	470
AT1G04157	25	22	14	23	23	29
AT1G03100	89	93	105	75	104	107
AT1G04163	44	52	57	35	58	55
AT1G03103	0	1	0	0	0	0
AT1G03106	2	0	0	0	1	0
AT1G03110	166	206	179	336	379	486
AT1G03120	8	11	14	9	2	5
AT1G03130	4352	4040	4799	2754	2070	2262
AT1G03140	1111	1259	1036	880	831	1108
AT1G03150	255	309	289	243	304	365
AT1G04167	0	0	0	0	0	0
AT1G03160	691	793	705	444	406	494
AT1G03165	4	2	4	2	2	4
AT1G04173	3	1	2	3	1	5
AT1G03170	120	174	142	107	96	86
AT1G03180	73	71	85	45	61	51
AT1G03190	282	346	284	252	288	360
AT1G04177	0	0	0	0	0	0
AT1G03200	129	189	134	100	105	180
AT1G03210	715	715	619	430	422	577
AT1G03220	573	374	517	2534	2871	3906
AT1G03230	391	336	339	1061	1015	1317
AT1G03240	0	7	0	0	0	1
AT1G03250	548	675	486	530	515	778
AT1G03260	160	175	155	163	145	187
AT1G03270	53	71	50	45	36	37
AT1G03280	1231	1428	1115	904	879	1208
AT1G03290	2483	3284	2410	1502	1390	2241
AT1G03300	99	95	105	144	207	185
AT1G03310	1123	1888	1328	619	579	733
AT1G03320	1	0	0	0	1	0
AT1G03325	1	0	0	0	0	0
AT1G03330	490	518	400	387	371	486
AT1G03340	121	153	134	159	134	201
AT1G03350	1386	1782	1416	1165	1067	1757
AT1G03360	183	210	169	685	686	932
AT1G03365	440	546	436	389	392	505
AT1G03370	1621	1866	1409	1103	1112	1818
AT1G03380	1849	2080	1567	498	435	711
AT1G03390	4	2	2	0	0	1
AT1G03395	1	0	0	0	0	0
AT1G03400	875	1028	858	672	550	875
AT1G03410	455	507	532	429	413	542
AT1G04183	394	449	468	394	387	489
AT1G03430	640	659	550	360	296	437
AT1G03440	230	273	264	297	191	413
AT1G03445	5	3	3	4	2	5
AT1G03457	150	138	157	158	147	193
AT1G03470	60	57	54	40	43	45
AT1G03475	1615	2144	1634	1828	1574	1972
AT1G03490	0	1	0	0	1	1
AT1G03495	1691	3652	2201	1480	1644	2002
AT1G04187	10	23	14	17	21	39
AT1G04193	5	1	1	16	18	13
AT1G03502	5	0	0	28	14	17
AT1G03506	4	4	6	14	12	13
AT1G04197	5	3	3	13	10	21
AT1G03510	29	15	31	28	41	32
AT1G03515	0	0	0	0	0	0
AT1G03520	224	241	224	111	141	168
AT1G03530	327	432	354	1362	1434	2047
AT1G03540	57	59	45	45	80	77
AT1G03550	345	338	258	248	279	400
AT1G03545	283	287	228	203	224	330
AT1G03560	218	242	179	257	269	337
AT1G03570	0	0	0	0	0	0
AT1G03590	921	940	750	564	480	750
AT1G03600	1031	895	1078	908	794	791
AT1G03610	326	299	217	216	290	299
AT1G03620	61	63	70	28	33	37
AT1G03630	1132	1355	1449	785	736	735
AT1G03640	0	0	0	0	0	1
AT1G03650	72	61	56	77	87	110
AT1G03660	21	23	19	40	54	121
AT1G04203	1	2	3	5	14	26
AT1G03670	0	3	0	0	1	1
AT1G03680	1210	1346	1303	812	731	883
AT1G03687	175	178	157	202	207	239
AT1G03700	10	6	5	3	1	8
AT1G03710	1	0	0	0	3	3
AT1G03720	0	0	0	0	0	0
AT1G04207	0	0	0	0	0	0
AT1G03730	295	314	254	227	230	384
AT1G03740	3166	2856	2158	1104	1354	1857
AT1G04213	6	11	5	0	4	6
AT1G03743	5	1	0	1	1	3
AT1G03746	0	0	4	0	0	2
AT1G03750	325	325	255	154	167	263
AT1G03760	257	294	256	241	236	363
AT1G03770	295	310	273	239	282	311
AT1G03780	150	143	142	107	112	103
AT1G03790	7	19	20	1	4	20
AT1G03800	26	40	20	35	30	43
AT1G03810	0	0	0	0	1	0
AT1G03820	99	107	154	80	82	63
AT1G03830	229	298	240	253	231	267
AT1G03840	60	86	69	75	79	90
AT1G03850	168	138	197	177	187	247
AT1G03860	1525	1586	1499	1717	1722	2253
AT1G03870	2482	1242	1803	2300	2050	4316
AT1G03880	0	0	0	0	0	0
AT1G03890	0	0	0	0	0	0
AT1G03900	2153	2388	2037	1910	1830	2560
AT1G03905	217	236	155	125	129	159
AT1G03910	1238	1465	1163	1326	1360	1806
AT1G03920	21	32	17	18	30	19
AT1G03930	727	737	695	458	469	608
AT1G04217	11	6	5	10	9	25
AT1G03935	2	6	2	12	12	29
AT1G04223	3	4	5	26	9	29
AT1G03940	2335	5098	2979	2302	2755	3342
AT1G04227	12	19	12	18	15	56
AT1G03950	524	561	432	306	256	434
AT1G03960	251	302	233	201	198	281
AT1G03970	742	936	746	448	464	713
AT1G04233	270	324	282	130	140	234
AT1G03980	7	12	8	11	21	18
AT1G03982	0	0	0	0	0	0
AT1G03990	83	81	67	41	42	68
AT1G04000	241	332	226	195	221	266
AT1G04010	278	340	302	70	76	135
AT1G04020	120	127	136	69	91	87
AT1G04030	389	316	327	437	419	587
AT1G04040	1490	1344	1332	1717	1464	2372
AT1G04237	227	259	204	290	225	378
AT1G04050	164	197	155	109	128	149
AT1G04070	190	222	158	292	278	416
AT1G04080	2235	2496	2058	2186	2312	2973
AT1G04090	8	14	5	5	4	8
AT1G04100	95	131	88	56	56	85
AT1G04105	37	55	41	23	18	36
AT1G04110	102	180	92	109	88	157
AT1G04120	4602	5854	3970	3450	3198	5130
AT1G04243	0	0	0	1	0	0
AT1G04130	239	258	199	220	255	332
AT1G04140	2272	2948	2227	1875	1817	3252
AT1G04150	4	9	5	9	11	12
AT1G04160	176	185	184	96	123	187
AT1G04170	1874	2009	1674	2990	3025	4557
AT1G04180	15	15	13	2	3	7
