	SRR5440795.trimmed.Athaliana.bam	SRR5440804.trimmed.Athaliana.bam	SRR5440813.trimmed.Athaliana.bam	SRR5440822.trimmed.Athaliana.bam	SRR5440831.trimmed.Athaliana.bam	SRR5440840.trimmed.Athaliana.bam
AT5G57900	1183	1348	1048	421	364	596
AT5G57910	493	618	449	209	244	322
AT5G57920	7	13	9	2	5	5
AT5G57930	908	940	919	598	601	636
AT5G57940	1306	1299	1119	707	721	1043
AT5G57950	332	344	258	217	193	323
AT5G57960	441	495	374	241	207	234
AT5G57970	261	270	203	130	100	135
AT5G57980	18	15	7	12	20	14
AT5G57990	2277	2650	2051	4530	4789	6969
AT5G08815	0	0	0	0	0	0
AT5G58000	244	308	255	137	123	174
AT5G58003	259	344	267	226	228	302
AT5G58005	404	483	346	287	276	355
AT5G58010	8	5	4	1	2	3
AT5G58020	1259	1379	1136	1116	1048	1684
AT5G58030	605	690	640	636	627	864
AT5G58040	2667	3001	2533	2697	2797	4109
AT5G58050	0	3	1	1	0	1
AT5G58060	2316	2583	2135	1723	1540	2459
AT5G58070	2682	2834	2512	1378	1615	1964
AT5G58080	5	11	4	2	1	2
AT5G58090	638	769	703	612	590	768
AT5G58100	1451	1753	1367	1083	1075	1619
AT5G58110	2285	2209	1897	1200	1336	1823
AT5G58120	540	428	366	198	199	423
AT5G58130	681	791	625	1091	1179	1668
AT5G08820	333	377	311	591	622	860
AT5G58140	3202	3393	3380	1786	1638	2190
AT5G58150	490	630	469	405	408	499
AT5G58160	364	452	382	211	203	267
AT5G58170	0	1	1	1	0	1
AT5G58180	3	0	0	0	0	0
AT5G58190	374	452	357	320	311	433
AT5G58200	1190	1158	988	672	676	924
AT5G58210	247	275	237	361	438	586
AT5G58220	998	1169	978	826	661	1073
AT5G58230	826	978	812	916	924	1389
AT5G58240	518	600	475	446	413	504
AT5G58250	707	741	696	735	729	810
AT5G58260	191	127	170	83	96	80
AT5G58270	977	1164	1009	847	776	1118
AT5G58280	2	1	2	5	4	2
AT5G58290	4426	5508	4392	3704	3175	5421
AT5G58300	378	429	358	329	332	458
AT5G58310	13	32	13	8	15	18
AT5G08825	2	11	2	2	1	2
AT5G58320	483	504	401	1518	1471	2811
AT5G08830	19	13	16	40	45	125
AT5G58330	1848	1965	1864	1333	1166	1560
AT5G58340	177	189	158	83	91	140
AT5G58350	3500	2756	2220	1115	1102	2258
AT5G58360	2	0	1	4	1	0
AT5G58370	142	152	129	429	523	647
AT5G58375	1252	1227	931	833	825	1271
AT5G58380	511	609	475	489	441	687
AT5G58390	1107	1474	1130	759	438	783
AT5G58400	4	0	2	3	2	1
AT5G58410	1237	1511	1157	1123	1060	1700
AT5G58412	0	0	0	0	0	0
AT5G58420	2730	3019	2750	5259	5645	6984
AT5G58430	1845	2136	1691	1076	1208	1743
AT5G58440	895	1195	979	790	745	1109
AT5G58450	736	888	647	692	712	1009
AT5G58460	0	0	2	0	0	0
AT5G58465	0	0	0	0	0	0
AT5G58470	1347	1554	1257	1917	1752	2824
AT5G58480	103	108	113	122	140	142
AT5G58490	936	1023	849	735	776	918
AT5G58495	0	0	1	0	0	0
AT5G58500	182	232	210	108	88	172
AT5G58510	684	790	666	366	394	548
AT5G58520	330	355	316	193	185	224
AT5G58530	152	152	130	147	135	158
AT5G08835	75	83	53	47	44	47
AT5G58540	570	690	515	320	329	422
AT5G58550	359	425	357	223	222	281
AT5G58560	877	1110	874	637	536	745
AT5G58570	517	657	439	367	243	391
AT5G08840	200	260	163	133	79	156
AT5G58575	423	460	328	254	270	385
AT5G58580	89	126	109	152	100	186
AT5G08845	0	0	0	0	0	0
AT5G58590	945	1010	989	1022	985	1303
AT5G58595	0	1	0	1	1	0
AT5G08850	1	0	0	0	0	0
AT5G08855	12	10	13	11	7	10
AT5G08860	3	2	6	8	3	4
AT5G08865	7	5	6	4	3	3
AT5G58600	105	117	104	128	139	144
AT5G58610	16	18	10	20	16	18
AT5G58620	1494	1483	1179	945	906	1626
AT5G08870	217	233	171	139	124	254
AT5G58630	6	12	7	4	8	10
AT5G58640	662	842	620	505	476	664
AT5G08875	89	112	82	65	64	103
AT5G58650	458	392	281	138	150	221
AT5G58660	155	117	102	32	45	94
AT5G58670	153	179	212	163	119	174
AT5G58680	14	20	13	14	26	19
AT5G58690	250	255	167	166	178	246
AT5G58700	228	301	245	485	458	827
AT5G58710	1823	1965	1673	1869	1665	2317
AT5G58720	1362	1554	1213	691	729	1036
AT5G58730	485	547	385	314	319	412
AT5G58740	957	1081	884	614	584	792
AT5G58750	9	13	2	9	7	4
AT5G58760	291	315	253	227	249	333
AT5G58770	87	96	98	94	41	83
AT5G58780	73	98	87	44	30	58
AT5G58782	0	0	0	0	1	1
AT5G58784	2	1	0	6	0	4
AT5G58787	465	604	464	289	274	345
AT5G58790	139	138	120	96	132	109
AT5G58800	492	473	377	185	207	238
AT5G58820	10	3	4	1	2	3
AT5G58830	0	0	0	0	0	7
AT5G58840	185	65	52	36	48	134
AT5G58850	0	0	0	0	0	0
AT5G58860	743	792	727	477	318	711
AT5G58870	1584	1710	1520	777	703	1013
AT5G58880	0	0	0	0	0	1
AT5G58890	0	0	0	0	0	0
AT5G58900	1136	1186	936	1305	1501	2336
AT5G58910	14	20	7	11	17	15
AT5G58920	390	424	345	277	305	358
AT5G58930	1181	1721	1361	786	906	998
AT5G58940	793	671	546	435	435	730
AT5G58950	3560	4060	3468	2170	2179	3019
AT5G58960	537	807	683	554	505	628
AT5G08880	123	172	146	88	100	126
AT5G58970	230	295	267	157	133	225
AT5G08885	39	43	28	25	35	34
AT5G58980	584	729	541	400	533	586
AT5G58990	257	232	228	219	254	308
AT5G59000	339	386	266	151	154	198
AT5G59010	383	499	322	321	279	406
AT5G08890	0	0	0	0	0	0
AT5G59020	62	86	68	59	62	96
AT5G59030	972	985	1021	681	577	855
AT5G59040	0	0	0	1	0	0
AT5G59050	1417	2144	1581	171	153	275
AT5G59055	0	0	0	0	0	0
AT5G59060	1	1	1	3	1	2
AT5G59080	196	118	118	213	179	300
AT5G59070	99	75	49	14	31	41
AT5G59090	79	13	19	24	37	44
AT5G59100	0	0	0	0	0	4
AT5G59105	0	0	0	0	0	0
AT5G59110	0	1	0	0	0	0
AT5G59120	0	0	0	0	0	0
AT5G59130	131	203	203	569	583	653
AT5G59140	694	707	527	649	587	759
AT5G59150	478	565	455	579	553	875
AT5G59160	1277	1479	1081	1076	964	1435
AT5G59170	0	7	1	10	1	3
AT5G59180	185	245	181	281	259	376
AT5G59190	7	22	8	8	14	9
AT5G59200	13	24	14	8	9	12
AT5G59210	672	750	696	469	433	629
AT5G59220	65	130	88	54	54	109
AT5G08895	1	0	0	0	1	0
AT5G59230	0	0	1	1	1	1
AT5G59240	14	26	14	124	143	155
AT5G59250	658	719	758	363	316	429
AT5G59260	5	4	7	1	1	3
AT5G08900	0	1	0	0	0	0
AT5G08905	0	0	0	0	0	0
AT5G59270	1	0	0	0	1	0
AT5G59280	0	0	0	0	0	0
AT5G59290	1050	1558	1172	1104	1193	1246
AT5G59300	429	474	347	332	295	439
AT5G59305	3	8	8	13	7	3
AT5G59310	225	445	424	292	362	405
AT5G59320	119	231	223	204	336	286
AT5G59330	123	98	107	116	144	172
AT5G59340	1	0	1	4	6	6
AT5G08910	0	0	0	0	0	0
AT5G59350	150	269	187	139	125	192
AT5G08915	0	0	0	0	0	0
AT5G59360	17	14	10	6	4	4
AT5G59370	0	1	0	1	0	1
AT5G59380	196	193	181	188	181	287
AT5G59385	2	2	0	0	2	1
AT5G59390	23	34	18	20	28	43
AT5G59395	0	0	0	0	0	0
AT5G59400	286	348	249	274	207	314
AT5G59410	184	241	136	150	113	205
AT5G59420	3115	3475	2838	2263	2131	3613
AT5G59430	630	804	598	458	481	641
AT5G59440	397	419	391	385	456	533
AT5G59450	972	1133	873	636	681	1074
AT5G08920	580	690	567	375	401	630
AT5G59460	185	242	197	242	282	366
AT5G59470	127	183	115	85	62	120
AT5G59480	280	360	355	422	374	503
AT5G59490	28	34	37	41	47	58
AT5G59500	294	367	338	317	280	374
AT5G59505	0	1	2	0	0	0
AT5G59510	10	5	2	17	23	52
AT5G59520	15	1	9	7	1	12
AT5G59530	357	210	221	73	102	174
AT5G59540	6093	6093	4672	2331	2202	3843
AT5G59550	1160	1230	1147	706	755	1185
AT5G59560	264	277	220	275	277	322
AT5G08925	0	0	0	2	0	0
AT5G59570	10	16	11	17	11	11
AT5G59580	6	4	4	5	5	0
AT5G59590	3	8	3	1	3	9
AT5G59610	248	233	197	168	142	211
AT5G59600	42	37	29	30	26	37
AT5G59613	2951	3093	2342	2453	2085	2987
AT5G59616	0	0	0	0	0	0
AT5G59650	51	58	58	40	30	45
AT5G59660	72	96	88	43	37	60
AT5G59662	26	39	20	26	17	31
AT5G59670	206	425	416	252	257	263
AT5G59680	227	198	138	103	181	328
AT5G59690	1249	1183	1418	867	916	880
AT5G59700	330	352	321	128	150	197
AT5G59710	732	821	634	474	460	715
AT5G59720	21	18	27	10	17	19
AT5G59730	835	922	671	680	542	1067
AT5G59732	834	922	671	680	542	1067
AT5G59740	51	56	53	56	32	73
AT5G59750	207	204	189	142	120	154
AT5G59760	5	3	3	2	2	5
AT5G59770	509	574	439	371	342	449
AT5G59780	1455	2019	1371	1822	1464	2329
AT5G08930	0	1	0	0	0	0
AT5G59790	302	313	244	325	319	507
AT5G59800	288	354	281	205	203	241
AT5G59810	0	0	0	0	0	1
AT5G59820	285	114	259	803	579	1111
AT5G59830	329	398	318	265	317	398
AT5G59840	992	1153	849	627	596	949
AT5G08935	0	0	0	0	0	0
AT5G59845	15	38	7	10	3	13
AT5G59850	2152	2665	1984	4394	4419	5680
AT5G59860	284	381	280	611	492	781
AT5G59865	4	5	6	1	1	4
AT5G59870	550	520	630	456	403	428
AT5G08940	0	0	0	0	0	0
AT5G59880	5466	5996	4983	4755	4729	6858
AT5G59890	3808	3770	2839	2281	2127	3935
AT5G59895	1117	1064	889	766	790	1170
AT5G59900	78	113	79	81	74	71
AT5G59910	2647	2959	2523	2456	2312	3107
AT5G59920	548	637	550	492	406	673
AT5G08945	0	0	0	0	0	0
AT5G59930	1	6	2	9	4	9
AT5G59940	4	2	5	4	4	11
AT5G59950	1433	1665	1303	807	824	1122
AT5G59945	0	0	0	0	0	0
AT5G59960	835	902	711	403	313	555
AT5G59970	694	737	829	608	656	584
AT5G59980	130	223	168	269	307	370
AT5G59990	78	93	48	174	166	195
AT5G60000	1	1	1	3	4	2
AT5G60010	0	0	0	0	0	0
AT5G60022	36	88	47	41	35	63
AT5G60020	96	185	138	101	99	168
AT5G60030	291	342	288	1278	1279	1653
AT5G60040	325	378	315	274	286	423
AT5G60050	211	264	190	126	110	186
AT5G08950	14	20	12	1	2	17
AT5G60060	0	2	0	0	0	0
AT5G60070	0	0	0	0	0	1
AT5G60080	0	0	0	0	0	0
AT5G60090	0	0	0	0	0	0
AT5G60100	38	42	43	30	35	51
AT5G60110	5	5	9	7	2	8
AT5G60120	870	879	867	558	564	888
AT5G60130	1	1	0	0	0	1
AT5G60140	2	1	1	2	0	1
AT5G60142	17	22	15	17	19	20
AT5G60150	43	56	52	32	28	36
AT5G60160	1404	1790	1467	1056	975	1492
AT5G60170	1853	2007	1580	1565	1675	2466
AT5G60180	16	16	17	14	7	15
AT5G60190	153	147	127	106	126	167
AT5G60200	159	145	131	135	143	134
AT5G60210	608	724	614	438	559	587
AT5G60215	6	7	15	7	3	11
AT5G60220	6	3	10	7	2	8
AT5G60230	68	83	51	62	56	90
AT5G60240	10	14	10	10	4	9
AT5G60250	325	343	313	237	251	470
AT5G60260	35	21	18	8	4	18
AT5G60265	6	3	2	4	3	5
AT5G60270	907	535	419	411	452	937
AT5G60280	659	499	347	256	316	617
AT5G60285	32	17	20	11	13	23
AT5G60290	10	16	15	13	14	20
AT5G60300	591	723	635	1028	1103	1750
AT5G60310	36	30	23	21	29	32
AT5G60320	1	3	2	0	0	0
AT5G60335	10	14	12	9	14	16
AT5G60340	1294	1456	1144	1801	1727	2274
AT5G60350	4	0	4	0	1	2
AT5G60360	18869	22112	16506	9317	8195	13915
AT5G60370	235	279	226	130	117	160
AT5G60380	2	3	0	0	1	0
AT5G60390	27501	32743	28215	39612	39724	57350
AT5G60400	222	246	194	244	270	292
AT5G60408	0	0	1	0	0	0
AT5G60410	2675	3139	2474	2412	2598	3872
AT5G60430	196	209	175	149	148	203
AT5G60440	37	52	35	29	34	36
AT5G60450	1080	1310	1091	805	798	1114
AT5G60460	444	456	415	479	360	589
AT5G60470	32	67	38	23	23	21
AT5G60480	0	0	0	1	1	1
AT5G60490	62	120	100	105	101	103
AT5G60500	0	1	0	0	0	0
AT5G60510	0	0	0	0	2	1
AT5G60520	16	21	6	1	13	8
AT5G60530	16	18	4	10	24	42
AT5G60540	352	379	285	248	306	408
AT5G60550	684	756	625	516	561	779
AT5G60553	0	0	0	0	0	0
AT5G60560	0	0	0	0	0	0
AT5G08955	69	86	53	33	29	90
AT5G60570	1212	1501	1162	1051	892	1386
AT5G60580	485	642	441	209	229	319
AT5G60590	284	300	233	307	302	461
AT5G60600	3711	4258	3665	2626	2167	3321
AT5G60610	30	44	32	35	31	53
AT5G60615	0	0	0	0	1	0
AT5G60620	1035	1240	1008	714	604	977
AT5G60630	97	93	54	71	34	84
AT5G08960	38	40	27	43	18	42
AT5G60640	3305	4102	3155	2689	2624	3695
AT5G60650	9	13	11	15	10	11
AT5G60660	26	46	49	29	22	32
AT5G08965	1	1	0	0	0	0
AT5G60670	681	812	656	1932	2201	2469
AT5G60680	302	232	265	366	402	420
AT5G60690	656	832	634	588	634	652
AT5G60700	477	456	360	305	408	464
AT5G60710	1034	1043	819	862	795	1189
AT5G08970	0	0	0	0	0	0
AT5G60720	40	97	55	43	52	55
AT5G60730	23	40	28	51	48	49
AT5G60740	0	3	0	0	0	0
AT5G60750	584	658	541	400	429	557
AT5G60760	98	107	81	43	77	84
AT5G60770	29	30	21	7	10	3
AT5G60780	62	66	46	82	52	40
AT5G60790	4815	5987	4301	7813	7356	12681
AT5G60800	534	527	362	578	640	1242
AT5G60805	0	0	0	0	0	0
AT5G60810	0	0	0	0	1	0
AT5G60820	312	340	285	220	169	335
AT5G60830	1	0	2	0	0	0
AT5G60840	340	312	253	254	191	249
AT5G60850	379	441	449	299	206	405
AT5G08975	0	1	0	1	1	0
AT5G60860	295	296	289	185	137	291
AT5G08980	107	89	108	57	39	88
AT5G60870	116	142	122	82	123	154
AT5G60880	22	34	32	41	35	29
AT5G60890	269	207	273	316	349	354
AT5G60900	1085	1430	1084	1275	1181	1906
AT5G60910	24	60	36	37	46	32
AT5G60920	3244	4009	3656	2483	2213	3750
AT5G60930	347	361	345	193	245	220
AT5G60940	334	412	341	250	261	289
AT5G60945	0	0	0	0	0	0
AT5G60950	315	364	284	187	178	227
AT5G60960	719	861	675	1497	1590	2194
AT5G60963	0	0	0	0	0	0
AT5G60964	0	0	0	0	0	0
AT5G60966	0	0	0	0	0	0
AT5G60970	230	234	206	162	177	183
AT5G08985	0	0	0	0	0	0
AT5G60980	1512	1938	1486	1514	1461	2075
AT5G60990	370	431	370	744	827	1156
AT5G61000	153	174	196	132	142	149
AT5G61010	3530	3602	2424	1156	1257	2603
AT5G61020	1782	2278	1799	4623	4987	6806
AT5G61030	609	912	713	1148	1283	1522
AT5G61040	154	171	149	160	171	207
AT5G61050	2	1	0	1	0	1
AT5G61060	1171	1453	1147	774	875	1204
AT5G61070	58	65	68	39	32	75
AT5G61090	8	13	4	5	8	5
AT5G61100	0	2	4	2	1	4
AT5G61110	0	0	0	0	0	0
AT5G61120	4	5	5	1	2	3
AT5G61130	558	658	574	767	880	900
AT5G61140	2019	2315	1818	1348	1315	2292
AT5G61150	1984	2299	1792	1673	1610	2247
AT5G61160	514	788	809	228	304	333
AT5G61170	1651	1967	1603	3692	3293	4655
AT5G61180	1	1	2	0	2	0
AT5G61190	928	1173	1014	722	846	1032
AT5G61200	61	71	72	45	36	37
AT5G61210	3292	3119	2589	1733	1620	2810
AT5G08990	578	496	416	308	337	487
AT5G61220	386	384	309	403	432	567
AT5G61230	1114	1287	1010	964	980	1314
AT5G61240	1168	1286	1000	928	861	1391
AT5G61250	440	542	435	181	145	240
AT5G61260	53	73	46	41	28	51
AT5G61270	612	603	560	402	359	403
AT5G61280	11	8	4	6	3	7
AT5G61290	170	219	260	58	26	54
AT5G61300	99	110	102	93	116	106
AT5G61310	266	313	248	555	565	634
AT5G61320	0	0	0	0	0	0
AT5G61330	487	613	514	1069	1135	1448
AT5G61340	402	544	494	229	148	361
AT5G61345	0	0	0	0	0	0
AT5G61350	4	5	2	2	3	0
AT5G61360	40	39	42	41	22	43
AT5G61370	49	80	61	47	65	71
AT5G61380	558	506	472	583	706	920
AT5G61390	190	227	178	185	170	314
AT5G61400	24	18	27	25	23	26
AT5G61410	3990	4015	3893	3254	3060	4135
AT5G61412	3	4	2	18	12	15
AT5G61420	1052	778	1076	1219	1360	1450
AT5G08995	0	0	0	0	0	0
AT5G61430	43	47	47	46	59	62
AT5G61440	42	19	28	79	85	93
AT5G09000	0	0	2	1	0	0
AT5G09005	0	0	1	1	0	1
AT5G61445	2	0	0	0	0	0
AT5G61450	690	775	586	439	406	633
AT5G61455	5	6	6	3	5	9
AT5G61460	237	329	254	181	186	304
AT5G61470	0	0	0	0	0	0
AT5G61480	601	709	547	501	529	630
AT5G09010	0	0	0	0	0	0
AT5G61490	52	36	40	26	24	38
AT5G61495	29	20	15	16	19	20
AT5G61500	1530	1944	1461	733	665	1139
AT5G61510	1448	1719	1505	1194	1057	1423
AT5G61520	1653	2198	1624	1495	1342	1994
AT5G61530	2100	2140	1693	1172	1166	1759
AT5G61540	207	193	176	97	92	127
AT5G09015	0	1	0	1	0	0
AT5G61550	18	16	9	7	8	10
AT5G61560	1333	717	484	318	375	543
AT5G61570	305	352	269	262	316	354
AT5G61580	923	1036	855	454	435	661
AT5G61590	858	772	872	845	1018	914
AT5G61600	531	662	766	595	705	1029
AT5G61605	0	0	0	0	0	1
AT5G61610	42	56	46	58	68	40
AT5G61620	0	0	0	1	2	0
AT5G61630	0	0	0	0	1	0
AT5G61640	749	1026	790	326	310	533
AT5G61650	110	125	101	144	125	169
AT5G61660	108	120	101	141	124	168
AT5G09020	1	0	1	1	0	0
AT5G61670	842	918	790	613	485	747
AT5G61680	0	0	0	0	0	0
AT5G61690	0	0	0	0	1	1
AT5G61700	0	0	0	0	0	0
AT5G61710	0	0	0	0	0	0
AT5G09025	0	0	0	0	0	0
AT5G61720	0	0	0	0	0	0
AT5G61730	1	3	1	3	0	4
AT5G61740	15	20	12	10	16	19
AT5G61750	0	1	5	4	1	2
AT5G61760	484	549	449	564	459	768
AT5G61770	399	459	348	1407	1583	2064
AT5G61780	2288	2919	2062	2683	2279	4191
AT5G61790	10101	12712	10112	12769	9468	15568
AT5G61800	19	30	16	25	27	24
AT5G61810	388	431	393	268	243	418
AT5G61820	5092	4095	4300	5545	5664	7675
AT5G61830	179	237	211	171	177	160
AT5G61835	0	0	0	0	0	0
AT5G61840	734	835	715	542	513	758
AT5G61850	1	7	8	17	25	7
AT5G61865	25	43	54	20	31	31
AT5G61880	155	182	120	355	370	403
AT5G61890	73	12	6	13	13	30
AT5G61910	2475	2735	1943	1285	1479	2565
AT5G61900	1887	2100	1410	921	1067	1939
AT5G61920	99	127	110	113	131	149
AT5G61930	192	231	189	164	166	201
AT5G61940	62	48	45	56	56	52
AT5G61950	61	50	51	46	43	51
AT5G61960	2079	2227	1771	1874	1775	2853
AT5G61970	1095	1366	1025	1021	990	1583
AT5G61980	75	80	73	47	71	73
AT5G61990	287	334	260	212	213	357
AT5G09030	144	173	141	116	94	180
AT5G09035	0	0	0	0	0	0
AT5G61997	0	0	0	0	0	0
AT5G09040	0	0	0	0	0	0
AT5G09045	0	0	1	0	0	0
AT5G62000	8847	10526	8421	5752	6070	9568
AT5G62020	209	253	218	292	327	445
AT5G62030	246	246	214	348	424	629
AT5G62040	3	5	5	2	1	1
AT5G62050	925	1104	793	950	972	1486
AT5G62060	0	0	0	0	0	0
AT5G62065	0	0	0	0	0	0
AT5G62070	556	544	552	336	376	439
AT5G62080	1	2	1	3	4	6
AT5G62090	840	1022	869	658	723	1051
AT5G62100	120	149	191	89	90	128
AT5G62110	0	0	0	0	0	0
AT5G62120	0	0	0	0	0	0
AT5G62130	272	459	391	227	136	224
AT5G62140	128	148	167	122	101	121
AT5G62150	186	107	67	58	65	107
AT5G62160	1	1	0	1	3	4
AT5G62162	0	0	0	0	0	0
AT5G62165	3	2	3	2	3	0
AT5G62170	127	143	125	101	80	137
AT5G62180	111	143	118	93	64	79
AT5G62190	2967	3699	2789	4934	5298	7908
AT5G62200	463	502	387	248	237	355
AT5G62210	83	309	145	184	156	222
AT5G62220	392	673	598	491	394	585
AT5G09050	0	0	0	0	0	0
AT5G62230	121	206	183	164	178	190
AT5G62240	1	0	0	1	0	0
AT5G62250	1	2	0	2	2	1
AT5G62260	125	101	70	57	74	130
AT5G62270	696	783	669	926	1082	1279
AT5G62280	186	81	134	42	45	100
AT5G62290	273	310	251	312	340	434
AT5G62300	2731	2916	2632	3629	3793	4639
AT5G62310	8	4	6	0	9	4
AT5G62320	0	0	1	1	1	0
AT5G62330	3	4	2	2	6	7
AT5G62340	2	7	2	8	13	18
AT5G09055	0	0	0	0	0	0
AT5G62350	1464	1527	1685	1349	1088	1373
AT5G62360	10	14	13	5	9	11
AT5G62370	50	81	68	162	201	260
AT5G09060	0	0	0	0	0	0
AT5G62380	16	18	17	23	30	20
AT5G62390	3548	4111	3435	3451	3641	4624
AT5G62400	1	0	0	0	0	0
AT5G62410	347	410	323	322	283	358
AT5G62420	1	1	1	1	2	0
AT5G09065	10	14	4	10	8	10
AT5G09070	0	0	0	0	0	0
AT5G62430	249	332	365	700	670	939
AT5G62440	496	579	494	1220	1389	1909
AT5G62460	741	823	591	390	375	587
AT5G62470	392	416	391	282	250	434
AT5G09080	0	0	0	0	0	0
AT5G62480	964	755	597	1111	1934	3690
AT5G62490	2	6	1	2	5	3
AT5G62500	82	115	96	90	82	129
AT5G62510	0	0	0	0	1	2
AT5G62520	125	134	129	177	212	230
AT5G62530	398	483	493	518	552	592
AT5G62540	432	487	426	441	423	564
AT5G62550	216	172	185	101	93	116
AT5G62560	774	725	598	333	293	520
AT5G62570	1292	1227	833	622	563	1060
AT5G62573	38	32	31	19	12	29
AT5G62575	286	322	273	215	185	301
AT5G62580	432	478	458	382	329	442
AT5G62600	693	779	573	557	493	851
AT5G62610	664	700	623	306	265	407
AT5G62620	660	663	596	396	472	710
AT5G62623	0	0	0	0	0	0
AT5G62627	0	0	0	0	0	0
AT5G62630	453	464	395	231	308	408
AT5G62640	946	1014	880	763	710	1079
AT5G62650	567	702	539	439	344	545
AT5G62660	1	0	1	0	1	2
AT5G09085	0	0	1	0	0	0
AT5G62670	1580	2421	1844	1204	1072	1378
AT5G62680	3420	4743	2937	1652	1569	2256
AT5G62690	6327	8645	7029	6638	5910	7388
AT5G62700	5008	6789	5745	5575	5226	6062
AT5G62710	183	186	188	273	319	291
AT5G62720	52	28	54	942	887	1266
AT5G62730	2	3	2	17	14	12
AT5G62740	1508	1872	1314	1195	992	1773
AT5G62750	0	0	0	0	0	0
AT5G62760	320	399	306	363	339	465
AT5G62770	135	155	148	150	163	210
AT5G62780	5	1	2	1	0	0
AT5G62790	1290	1570	1337	851	769	900
AT5G62800	0	0	0	0	0	0
AT5G62810	2061	2302	2084	1590	1457	2060
AT5G62820	100	140	91	62	53	55
AT5G62830	0	1	1	0	0	2
AT5G62840	78	81	99	69	89	82
AT5G62850	11	27	25	47	15	47
AT5G62848	0	0	0	1	0	1
AT5G62860	0	0	0	0	0	0
AT5G62865	352	299	272	227	231	364
AT5G62880	352	423	359	468	426	536
AT5G09090	0	0	0	0	0	0
AT5G62890	1885	2623	2129	1722	1572	2096
AT5G62900	215	250	209	545	485	773
AT5G62910	470	499	430	554	576	907
AT5G62920	94	83	87	255	368	446
AT5G62930	618	672	611	451	423	626
AT5G62940	108	113	98	102	115	116
AT5G62950	287	315	225	227	171	270
AT5G09095	0	1	0	0	0	0
AT5G62960	50	58	53	62	83	84
AT5G62970	0	0	0	1	0	1
AT5G09100	0	0	0	0	0	0
AT5G09105	0	1	0	0	0	0
AT5G09110	0	1	0	0	0	0
AT5G62980	130	146	111	148	170	189
AT5G62990	91	123	101	67	81	90
AT5G62998	4	4	2	1	2	0
AT5G63000	306	361	268	334	256	336
AT5G63010	166	233	170	249	247	328
AT5G63020	435	441	336	260	221	383
AT5G09120	74	72	53	49	32	80
AT5G63030	1597	1633	1278	1060	999	1647
AT5G63040	157	207	198	208	221	256
AT5G09125	10	10	9	24	15	11
AT5G09130	2	4	1	7	4	2
AT5G63050	451	481	459	533	546	656
AT5G09135	1	1	0	0	0	0
AT5G63060	106	126	76	63	60	110
AT5G09140	2	4	2	0	3	10
AT5G63063	0	0	0	0	0	0
AT5G63070	1	1	0	1	2	1
AT5G63080	349	459	293	178	188	262
AT5G63085	0	0	0	0	0	0
AT5G09145	0	0	0	0	0	0
AT5G63087	6	2	10	2	2	8
AT5G63090	75	66	71	66	61	64
AT5G63100	64	82	80	52	50	67
AT5G63110	910	975	808	689	641	877
AT5G63120	533	707	526	715	690	972
AT5G63130	283	290	231	145	168	245
AT5G63135	184	190	157	116	116	150
AT5G63140	114	135	133	140	172	197
AT5G63145	0	0	0	0	0	0
AT5G63150	432	499	410	362	462	565
AT5G63160	18	38	29	456	587	801
AT5G63170	0	0	0	0	0	0
AT5G63180	1000	995	1215	534	294	468
AT5G63190	1889	2062	1650	795	763	1198
AT5G63195	1363	1518	1238	588	570	848
AT5G63200	385	482	389	324	332	436
AT5G63220	397	449	356	380	390	536
AT5G63225	17	24	16	4	6	28
AT5G63230	0	0	0	0	0	0
AT5G63240	2	1	3	2	2	1
AT5G63250	0	0	0	0	0	1
AT5G63260	588	691	558	386	407	550
AT5G63270	1	4	3	0	3	1
AT5G63280	343	338	299	206	208	312
AT5G63290	63	82	76	62	59	85
AT5G09150	23	26	21	24	15	27
AT5G63300	56	50	57	85	56	51
AT5G63310	588	580	566	634	615	538
AT5G63320	1892	2267	1686	1641	1688	2431
AT5G09155	701	791	612	686	694	905
AT5G63340	97	117	103	70	52	124
AT5G63350	24	42	31	13	8	11
AT5G63370	2212	2306	1913	1764	1851	2775
AT5G63375	187	147	175	85	86	122
AT5G63380	507	512	449	279	277	364
AT5G63390	13	9	12	2	8	6
AT5G63400	1781	1898	1631	2013	2002	2667
AT5G63410	1208	1625	1249	537	452	675
AT5G63420	305	372	316	333	302	346
AT5G63440	273	277	257	184	213	226
AT5G63450	27	27	43	13	20	28
AT5G63460	405	343	340	297	307	422
AT5G63470	213	135	178	134	96	138
AT5G63480	170	104	125	107	75	134
AT5G63490	882	848	713	553	603	927
AT5G09160	89	94	69	57	55	124
AT5G09165	38	37	35	14	24	34
AT5G63500	82	100	99	78	52	83
AT5G63510	1415	1567	1336	1178	1091	1600
AT5G63520	161	219	161	114	112	169
AT5G63530	370	374	469	571	413	366
AT5G09170	0	0	0	0	0	0
AT5G63540	15	23	17	18	14	21
AT5G63550	511	545	448	501	510	639
AT5G63560	875	855	786	439	464	745
AT5G63570	1349	1592	1322	1440	1220	1827
AT5G63580	82	145	85	88	92	88
AT5G63590	194	186	211	106	85	125
AT5G63595	23	29	18	5	13	14
AT5G63600	316	182	268	155	182	352
AT5G63610	754	856	714	539	584	757
AT5G63620	523	642	512	299	251	385
AT5G63625	11	11	11	12	14	19
AT5G63630	126	176	168	137	135	184
AT5G63640	751	826	660	550	546	901
AT5G63650	205	173	125	72	82	98
